,AGENT COLOR,OUTCOME,N STEPS,AGENT PIECES,OPPONENT PIECES,EPISODE,pawn,horse,knight,rook,queen,king
0,WHITE,LOSS,13,16,8,0,4,0,1,2,0,1
1,BLACK,LOSS,23,9,15,0,7,2,2,2,1,1
2,WHITE,LOSS,21,16,5,1,2,1,0,1,0,1
3,BLACK,LOSS,30,9,16,1,8,2,2,2,1,1
4,WHITE,LOSS,18,16,9,2,5,1,1,1,0,1
5,BLACK,LOSS,29,5,14,2,6,2,2,2,1,1
6,WHITE,LOSS,25,13,8,3,4,1,1,1,0,1
7,BLACK,LOSS,22,8,16,3,8,2,2,2,1,1
8,WHITE,LOSS,16,16,12,4,7,0,2,2,0,1
9,BLACK,LOSS,31,5,12,4,6,2,0,2,1,1
10,WHITE,LOSS,15,14,9,5,5,1,1,1,0,1
11,BLACK,LOSS,16,10,15,5,6,2,2,2,2,1
12,WHITE,LOSS,20,16,12,6,7,1,1,2,0,1
13,BLACK,LOSS,28,6,13,6,5,2,2,2,1,1
14,WHITE,LOSS,13,15,11,7,5,2,1,2,0,1
15,BLACK,LOSS,17,11,14,7,7,2,1,2,1,1
16,WHITE,LOSS,28,16,8,8,4,1,1,1,0,1
17,BLACK,LOSS,15,6,15,8,6,3,2,2,1,1
18,WHITE,LOSS,19,12,8,9,4,1,0,2,0,1
19,BLACK,LOSS,13,11,16,9,8,2,2,2,1,1
20,WHITE,LOSS,16,16,12,10,6,2,2,1,0,1
21,BLACK,LOSS,13,11,15,10,8,2,1,2,1,1
22,WHITE,LOSS,17,13,8,11,4,0,1,2,0,1
23,BLACK,LOSS,16,13,15,11,7,2,2,2,1,1
24,WHITE,LOSS,20,14,9,12,5,0,1,2,0,1
25,BLACK,LOSS,32,4,14,12,7,1,2,2,1,1
26,WHITE,LOSS,20,15,9,13,5,0,1,2,0,1
27,BLACK,LOSS,17,10,16,13,8,2,2,2,1,1
28,WHITE,LOSS,28,13,9,14,6,0,1,1,0,1
29,BLACK,LOSS,19,11,14,14,6,2,2,2,1,1
30,WHITE,LOSS,13,16,13,15,7,2,2,1,0,1
31,BLACK,LOSS,17,9,16,15,8,2,2,2,1,1
32,WHITE,LOSS,22,16,9,16,6,0,1,1,0,1
33,BLACK,LOSS,16,10,16,16,7,2,2,2,2,1
34,WHITE,LOSS,18,16,11,17,5,2,1,2,0,1
35,BLACK,LOSS,23,6,13,17,7,2,1,1,1,1
36,WHITE,LOSS,19,15,11,18,7,1,1,1,0,1
37,BLACK,LOSS,22,10,15,18,7,2,2,2,1,1
38,WHITE,LOSS,11,16,10,19,4,2,1,2,0,1
39,BLACK,LOSS,20,9,15,19,7,2,2,2,1,1
40,WHITE,LOSS,19,16,12,20,5,2,2,2,0,1
41,BLACK,LOSS,24,9,12,20,4,2,2,2,1,1
42,WHITE,LOSS,23,16,9,21,4,0,2,2,0,1
43,BLACK,LOSS,22,8,16,21,7,3,2,2,1,1
44,WHITE,LOSS,10,16,11,22,7,1,1,1,0,1
45,BLACK,LOSS,14,10,15,22,7,2,2,2,1,1
46,WHITE,LOSS,16,15,8,23,4,1,1,1,0,1
47,BLACK,LOSS,11,15,16,23,8,2,2,2,1,1
48,WHITE,LOSS,22,16,12,24,7,2,1,1,0,1
49,BLACK,LOSS,31,8,14,24,6,2,2,2,1,1
50,WHITE,LOSS,23,14,10,25,7,1,0,1,0,1
51,BLACK,LOSS,31,8,13,25,6,2,1,2,1,1
52,WHITE,LOSS,15,15,10,26,4,1,1,2,1,1
53,BLACK,LOSS,22,12,15,26,7,2,2,2,1,1
54,WHITE,LOSS,20,13,10,27,5,1,1,2,0,1
55,BLACK,LOSS,15,10,16,27,7,2,2,2,2,1
56,WHITE,LOSS,15,14,11,28,6,1,1,1,1,1
57,BLACK,LOSS,18,8,16,28,8,2,2,2,1,1
