,AGENT COLOR,OUTCOME,N STEPS,AGENT PIECES,OPPONENT PIECES,EPISODE,pawn,horse,knight,rook,queen,king
0,WHITE,LOSS,3,16,16,800,8,2,2,2,1,1
1,BLACK,LOSS,11,10,15,800,7,2,2,2,1,1
2,WHITE,LOSS,26,14,6,800,3,1,0,1,0,1
3,BLACK,LOSS,5,15,16,800,8,2,2,2,1,1
4,WHITE,LOSS,22,16,8,800,5,0,1,1,0,1
5,BLACK,LOSS,18,9,15,800,7,2,2,2,1,1
6,WHITE,LOSS,3,16,16,800,8,2,2,2,1,1
7,BLACK,LOSS,24,7,15,800,7,2,2,2,1,1
8,WHITE,LOSS,16,13,14,800,8,2,2,1,0,1
9,BLACK,LOSS,11,14,16,800,8,2,2,2,1,1
10,WHITE,LOSS,14,15,10,800,6,0,1,2,0,1
11,BLACK,LOSS,16,9,15,800,7,2,2,2,1,1
12,WHITE,LOSS,21,16,10,800,6,1,1,1,0,1
13,BLACK,LOSS,19,8,15,800,7,2,2,2,1,1
14,WHITE,LOSS,29,14,10,800,6,0,1,2,0,1
15,BLACK,LOSS,11,14,16,800,8,2,2,2,1,1
16,WHITE,LOSS,17,14,10,800,6,0,1,2,0,1
17,BLACK,LOSS,29,9,16,800,8,2,2,2,1,1
18,WHITE,LOSS,21,15,10,800,6,1,0,1,1,1
19,BLACK,LOSS,20,9,16,800,8,2,2,2,1,1
20,WHITE,LOSS,22,15,8,800,4,1,0,1,1,1
21,BLACK,LOSS,30,5,13,800,6,2,1,2,1,1
22,WHITE,LOSS,18,15,11,800,6,2,1,1,0,1
23,BLACK,LOSS,14,11,15,800,7,2,2,2,1,1
24,WHITE,LOSS,22,13,9,800,6,1,1,0,0,1
25,BLACK,LOSS,13,13,16,800,8,2,2,2,1,1
26,WHITE,LOSS,14,15,14,800,6,2,2,2,1,1
27,BLACK,LOSS,17,10,16,800,8,2,2,2,1,1
28,WHITE,LOSS,21,15,9,800,6,1,1,0,0,1
29,BLACK,LOSS,25,8,15,800,7,2,2,2,1,1
30,WHITE,LOSS,23,15,9,800,5,0,1,2,0,1
31,BLACK,LOSS,12,13,16,800,8,2,2,2,1,1
32,WHITE,LOSS,19,15,8,800,5,1,1,0,0,1
33,BLACK,LOSS,18,10,14,800,6,2,2,2,1,1
34,WHITE,LOSS,14,16,14,800,7,2,1,2,1,1
35,BLACK,LOSS,4,15,16,800,8,2,2,2,1,1
36,WHITE,LOSS,20,15,9,800,5,1,1,1,0,1
37,BLACK,LOSS,19,9,15,800,8,2,1,2,1,1
38,WHITE,LOSS,14,13,11,800,7,1,1,1,0,1
39,BLACK,LOSS,33,7,14,800,6,2,2,2,1,1
40,WHITE,LOSS,11,16,14,800,7,2,1,2,1,1
41,BLACK,LOSS,25,9,14,800,6,1,2,2,2,1
42,WHITE,LOSS,28,12,6,800,3,0,1,1,0,1
43,BLACK,LOSS,27,9,14,800,7,1,2,2,1,1
44,WHITE,LOSS,15,15,12,800,6,1,2,2,0,1
45,BLACK,LOSS,16,11,16,800,8,2,2,2,1,1
46,WHITE,LOSS,14,16,13,800,6,2,2,1,1,1
47,BLACK,LOSS,25,9,14,800,7,2,2,2,0,1
48,WHITE,LOSS,14,14,12,800,6,2,1,2,0,1
49,BLACK,LOSS,24,10,15,800,8,1,2,2,1,1
50,WHITE,LOSS,21,15,12,800,6,1,2,2,0,1
51,BLACK,LOSS,16,12,15,800,8,1,2,2,1,1
52,WHITE,LOSS,16,16,11,800,5,1,2,2,0,1
53,BLACK,LOSS,36,7,15,800,7,2,2,2,1,1
54,WHITE,LOSS,15,15,13,800,6,1,2,2,1,1
55,BLACK,LOSS,17,9,15,800,7,2,1,2,2,1
56,WHITE,LOSS,19,15,9,800,5,1,1,1,0,1
57,BLACK,LOSS,17,10,15,800,7,2,2,2,1,1
58,WHITE,LOSS,18,16,10,800,5,0,2,2,0,1
59,BLACK,LOSS,13,10,15,800,7,2,1,3,1,1
60,WHITE,LOSS,15,15,10,800,4,1,2,1,1,1
61,BLACK,LOSS,23,6,14,800,6,2,2,2,1,1
62,WHITE,LOSS,27,13,5,800,4,0,0,0,0,1
63,BLACK,LOSS,16,10,15,800,8,2,2,1,1,1
64,WHITE,LOSS,13,15,12,800,4,2,2,2,1,1
65,BLACK,LOSS,23,8,13,800,6,2,1,2,1,1
66,WHITE,LOSS,17,15,13,800,7,0,2,2,1,1
67,BLACK,LOSS,21,10,13,800,7,1,1,2,1,1
68,WHITE,LOSS,22,15,13,800,7,1,2,1,1,1
69,BLACK,LOSS,21,11,15,800,7,2,2,2,1,1
70,WHITE,LOSS,14,16,11,800,6,1,1,2,0,1
71,BLACK,LOSS,8,13,15,800,7,2,2,2,1,1
72,WHITE,LOSS,16,15,7,800,4,0,0,2,0,1
73,BLACK,LOSS,13,11,14,800,6,2,2,2,1,1
74,WHITE,LOSS,17,16,8,800,5,0,1,1,0,1
75,BLACK,LOSS,17,11,15,800,7,2,2,2,1,1
76,WHITE,LOSS,26,16,7,800,5,0,1,0,0,1
77,BLACK,LOSS,8,13,16,800,8,2,2,2,1,1
78,WHITE,LOSS,14,13,10,800,5,2,1,1,0,1
79,BLACK,LOSS,19,10,15,800,7,2,2,2,1,1
80,WHITE,LOSS,22,14,9,800,5,0,1,2,0,1
81,BLACK,LOSS,15,11,15,800,7,2,2,2,1,1
82,WHITE,LOSS,31,16,7,800,3,1,0,2,0,1
83,BLACK,LOSS,5,15,16,800,8,2,2,2,1,1
84,WHITE,LOSS,25,15,9,800,4,1,1,2,0,1
85,BLACK,LOSS,20,11,14,800,6,2,2,2,1,1
86,WHITE,LOSS,31,13,8,800,4,1,1,1,0,1
87,BLACK,LOSS,20,10,14,800,7,2,1,2,1,1
88,WHITE,LOSS,19,14,7,800,3,1,1,1,0,1
89,BLACK,LOSS,22,9,15,800,8,1,2,2,1,1
90,WHITE,LOSS,14,15,11,800,6,1,1,2,0,1
91,BLACK,LOSS,18,7,15,800,7,2,2,2,1,1
92,WHITE,LOSS,18,16,11,800,5,1,1,2,1,1
93,BLACK,LOSS,16,11,14,800,7,1,2,2,1,1
94,WHITE,LOSS,23,15,9,800,5,1,1,1,0,1
95,BLACK,LOSS,19,9,15,800,7,2,2,2,1,1
96,WHITE,LOSS,11,15,13,800,6,2,2,2,0,1
97,BLACK,LOSS,22,5,15,800,8,1,2,2,1,1
98,WHITE,LOSS,18,16,8,800,4,1,0,1,1,1
99,BLACK,LOSS,23,5,14,800,5,2,2,3,1,1
100,WHITE,LOSS,20,15,11,800,5,1,2,2,0,1
101,BLACK,LOSS,18,11,14,800,6,2,2,2,1,1
102,WHITE,LOSS,22,15,11,800,5,1,2,2,0,1
103,BLACK,LOSS,24,6,11,800,5,1,1,2,1,1
104,WHITE,LOSS,17,16,13,800,7,2,2,1,0,1
105,BLACK,LOSS,13,12,16,800,8,2,2,2,1,1
106,WHITE,LOSS,14,16,13,800,7,2,1,2,0,1
107,BLACK,LOSS,11,13,15,800,7,2,2,2,1,1
108,WHITE,LOSS,31,12,4,800,2,0,1,0,0,1
109,BLACK,LOSS,19,11,12,800,6,1,1,2,1,1
110,WHITE,LOSS,15,16,8,800,4,1,1,1,0,1
111,BLACK,LOSS,21,8,14,800,6,2,1,3,1,1
112,WHITE,LOSS,20,15,10,800,5,1,2,1,0,1
113,BLACK,LOSS,13,12,15,800,7,2,2,2,1,1
114,WHITE,LOSS,14,16,11,800,6,1,2,1,0,1
115,BLACK,LOSS,21,10,15,800,7,2,2,2,1,1
116,WHITE,LOSS,19,16,8,800,4,1,1,1,0,1
117,BLACK,LOSS,30,7,14,800,8,1,1,2,1,1
118,WHITE,LOSS,26,15,9,800,4,1,1,2,0,1
119,BLACK,LOSS,15,11,15,800,7,2,2,2,1,1
120,WHITE,LOSS,13,15,11,800,6,1,1,2,0,1
121,BLACK,LOSS,18,10,15,800,7,2,2,2,1,1
122,WHITE,LOSS,9,16,14,800,7,1,2,2,1,1
123,BLACK,LOSS,21,10,13,800,5,2,2,2,1,1
124,WHITE,LOSS,11,14,14,800,6,2,2,2,1,1
125,BLACK,LOSS,15,12,15,800,7,2,2,2,1,1
126,WHITE,LOSS,20,14,10,800,4,1,2,2,0,1
127,BLACK,LOSS,16,12,15,800,7,2,1,3,1,1
128,WHITE,LOSS,10,16,15,800,8,2,2,2,0,1
