,AGENT COLOR,OUTCOME,N STEPS,AGENT PIECES,OPPONENT PIECES,EPISODE,pawn,horse,knight,rook,queen,king
0,WHITE,LOSS,9,15,15,0,8,2,1,2,1,1
1,BLACK,LOSS,22,10,16,0,8,2,2,2,1,1
2,WHITE,DRAW,24,8,16,1,8,2,2,2,1,1
3,BLACK,LOSS,8,14,16,1,8,2,2,2,1,1
4,WHITE,DRAW,31,8,14,2,5,2,2,2,2,1
5,BLACK,LOSS,19,7,15,2,7,2,2,2,1,1
6,WHITE,DRAW,17,13,15,3,7,1,2,2,2,1
7,BLACK,LOSS,15,9,13,3,6,2,1,2,1,1
8,WHITE,DRAW,17,11,16,4,7,2,2,2,2,1
9,BLACK,LOSS,12,13,15,4,7,2,2,2,1,1
10,WHITE,DRAW,6,15,16,5,8,2,2,2,1,1
11,BLACK,LOSS,32,7,13,5,6,2,1,2,1,1
12,WHITE,DRAW,7,14,16,6,8,2,2,2,1,1
13,BLACK,LOSS,21,10,15,6,7,2,2,2,1,1
14,WHITE,DRAW,14,13,14,7,7,1,2,2,1,1
15,BLACK,LOSS,11,14,16,7,8,2,2,2,1,1
16,WHITE,DRAW,13,10,15,8,7,2,1,2,2,1
17,BLACK,LOSS,22,9,13,8,5,2,2,2,1,1
18,WHITE,LOSS,24,11,13,9,6,2,1,2,1,1
19,BLACK,LOSS,26,8,12,9,5,2,2,1,1,1
20,WHITE,DRAW,33,9,16,10,7,2,2,3,1,1
21,BLACK,DRAW,6,15,16,10,8,2,2,2,1,1
22,WHITE,LOSS,20,12,14,11,6,2,2,2,1,1
23,BLACK,LOSS,11,15,16,11,8,2,2,2,1,1
24,WHITE,DRAW,10,14,14,12,7,2,1,2,1,1
25,BLACK,LOSS,16,9,15,12,6,2,2,2,2,1
26,WHITE,DRAW,14,12,15,13,8,2,1,2,1,1
27,BLACK,LOSS,23,11,14,13,7,1,2,2,1,1
28,WHITE,DRAW,15,12,14,14,6,2,2,2,1,1
29,BLACK,LOSS,23,8,14,14,8,1,1,2,1,1
30,WHITE,LOSS,23,9,14,15,5,2,2,2,2,1
31,BLACK,LOSS,10,13,16,15,8,2,2,2,1,1
32,WHITE,DRAW,8,16,16,16,8,2,2,2,1,1
33,BLACK,LOSS,8,13,15,16,7,2,2,2,1,1
34,WHITE,DRAW,19,11,14,17,7,2,1,2,1,1
35,BLACK,LOSS,16,10,14,17,7,1,2,2,1,1
36,WHITE,DRAW,14,12,14,18,7,1,2,2,1,1
37,BLACK,LOSS,7,14,16,18,8,2,2,2,1,1
38,WHITE,DRAW,16,10,15,19,7,2,2,2,1,1
39,BLACK,LOSS,11,13,15,19,8,2,1,2,1,1
40,WHITE,DRAW,17,12,16,20,8,2,2,2,1,1
41,BLACK,LOSS,8,15,16,20,8,2,2,2,1,1
42,WHITE,DRAW,28,6,14,21,7,2,2,2,0,1
43,BLACK,LOSS,16,9,15,21,8,1,2,2,1,1
44,WHITE,DRAW,24,10,12,22,5,2,1,2,1,1
45,BLACK,LOSS,17,10,15,22,8,1,2,2,1,1
46,WHITE,DRAW,27,8,14,23,7,1,2,2,1,1
47,BLACK,LOSS,27,9,14,23,6,2,2,2,1,1
48,WHITE,DRAW,15,11,15,24,7,2,2,2,1,1
49,BLACK,LOSS,31,8,15,24,8,2,1,2,1,1
50,WHITE,DRAW,7,16,16,25,8,2,2,2,1,1
51,BLACK,LOSS,13,8,14,25,5,3,2,2,1,1
52,WHITE,DRAW,16,11,16,26,8,2,2,2,1,1
